Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
37,tt11937680,2025-10-29,2025-10-29,,"El leopardo de las nieves","La panthère des neiges",https://www.imdb.com/title/tt11937680/,Movie,7.8,92,2021,"Documentary",3276,2021-12-15,"Marie Amiguet, Vincent Munier",9,2023-01-04
38,tt16227014,2025-10-29,2025-10-29,,"Fuego de amor","Fire of Love",https://www.imdb.com/title/tt16227014/,Movie,7.6,98,2022,"Documentary, Biography",16265,2022-07-22,"Sara Dosa",7,2023-01-11
39,tt0291350,2025-10-29,2025-10-29,,"Sennen joyû","Sennen joyû",https://www.imdb.com/title/tt0291350/,Movie,7.8,87,2001,"Animation, Drama, Fantasy, Romance",35739,2002-09-14,"Satoshi Kon",7,2023-01-18
40,tt15301048,2025-10-29,2025-10-29,,"Argentina, 1985","Argentina, 1985",https://www.imdb.com/title/tt15301048/,Movie,7.6,140,2022,"Biography, Crime, Drama, History",35400,2022-09-29,"Santiago Mitre",7,2023-01-26
41,tt14208870,2025-10-29,2025-10-29,,"Los Fabelman","The Fabelmans",https://www.imdb.com/title/tt14208870/,Movie,7.5,151,2022,"Drama",131831,2022-11-23,"Steven Spielberg",8,2023-02-07
42,tt12477480,2025-10-29,2025-10-29,,"La decisión de partir","Heojil kyolshim",https://www.imdb.com/title/tt12477480/,Movie,7.3,139,2022,"Crime, Drama, Mystery, Romance, Thriller",65677,2022-06-29,"Park Chan-wook",7,2023-02-10
43,tt3915174,2025-10-29,2025-10-29,,"El gato con botas: El último deseo","Puss in Boots: The Last Wish",https://www.imdb.com/title/tt3915174/,Movie,7.8,102,2022,"Animation, Action, Adventure, Comedy, Family, Fantasy",216736,2022-12-22,"Joel Crawford, Januel Mercado",7,2023-02-17
44,tt7689964,2025-10-29,2025-10-29,,"RBG","RBG",https://www.imdb.com/title/tt7689964/,Movie,7.6,98,2018,"Documentary, Biography",15523,2018-07-26,"Julie Cohen, Betsy West",7,2025-11-03
45,tt13833688,2025-10-29,2025-10-29,,"La ballena","The Whale",https://www.imdb.com/title/tt13833688/,Movie,7.6,117,2022,"Drama",261841,2022-12-21,"Darren Aronofsky",8,2023-03-02
46,tt10272386,2025-10-29,2025-10-29,,"El padre","The Father",https://www.imdb.com/title/tt10272386/,Movie,8.2,97,2020,"Drama, Mystery",227148,2021-06-15,"Florian Zeller",7,2023-03-07
47,tt3244442,2025-10-29,2025-10-29,,"Stephanie in the Water","Stephanie in the Water",https://www.imdb.com/title/tt3244442/,Movie,6.3,70,2014,"Documentary, Sport",32,2014-08-05,"Ava Warbrick",6,2023-03-15
48,tt9634036,2025-10-29,2025-10-29,,"Aalto","Aalto",https://www.imdb.com/title/tt9634036/,Movie,7.1,103,2020,"Documentary, Biography, History",770,2020-09-04,"Virpi Suutari",6,2023-03-21
49,tt4873118,2025-10-29,2025-10-29,,"The Covenant","The Covenant",https://www.imdb.com/title/tt4873118/,Movie,7.5,123,2023,"Action, Drama, Thriller, War",199993,2023-04-21,"Guy Ritchie",7,2023-06-02
50,tt1529252,2025-10-29,2025-10-29,,"El hombre de al lado","El hombre de al lado",https://www.imdb.com/title/tt1529252/,Movie,7.1,110,2009,"Thriller",4035,2010-09-02,"Mariano Cohn, Gastón Duprat",7,2023-06-14
